entry_id;date;brief_description;relevance_type
7;1849-01-07;Автор читает в петербургских газетах об успехах австрийцев в Венгрии и отмечает продолжающиеся беспорядки ("ералаш") на Западе.;direct
10;1849-01-10;Автор выражает антипольские и антифранцузские настроения, критикуя "иноземщину" и "французолюбие" в местном обществе, что отражает ксенофобскую реакцию эпохи.;indirect
28;1849-01-28;Автор описывает сцену прощания с внезапно забранным рекрутом, что является свидетельством идущей в стране мобилизации.;indirect
43;1849-02-12;Автор упоминает присутствие на пикнике у политического ссыльного, что свидетельствует об усилении репрессий и надзора.;indirect
54;1849-02-23;Автор замечает, что новое издание повести Гоголя "Портрет" сокращено, и предполагает, что это сделано цензурой, что является косвенным свидетельством ужесточения контроля над печатью.;indirect
59;1849-03-01;Автор читает в газетах о вводе русских войск в Трансильванию для помощи Австрии и об учреждении республики в Риме, предрекая большую войну в Европе.;direct
61;1849-03-03;Автор читает в газетах о "беспорядках на Западе" и под влиянием новостей размышляет о поступлении на военную службу.;direct
66;1849-03-08;Автор размышляет о социальном неравенстве, противопоставляя ему республиканское устройство Франции, где "все равны", что является прямой отсылкой к последствиям революции 1848 года.;direct
87;1849-03-29;Автор читает в газетах о возобновлении войны между Австрией и Карлом Альбертом (Сардинское королевство) и передает слух о затянувшейся войне австрийцев с венграми.;direct
95;1849-04-06;Автор обсуждает слухи о возможной войне России с Турцией, которые циркулируют в обществе как одно из последствий общеевропейской нестабильности.;indirect
96;1849-04-07;Автор осуждает 'вольнодумство' и 'разврат' современной молодежи, противопоставляя их традиционным ценностям, что отражает консервативную реакцию на идеи эпохи.;indirect
97;1849-04-08;Автор читает в газетах о разгорающейся войне в Западной Европе, цитирует речь французского оратора о возможном вмешательстве России и передает слухи о "революционном духе" в Петербурге.;direct
114;1849-04-25;Автор обсуждает слухи об отправке русского корпуса в Италию для подавления "кровавой бури" и размышляет о своем нежелании участвовать в "политической" войне.;direct
116;1849-04-27;Автор отмечает в газетах неопределенность по поводу французской интервенции в Италии и подозревает, что власти скрывают информацию об отправке туда русского корпуса.;direct
119;1849-04-30;Автор обсуждает слухи об указе о бритье бород и усов как мере борьбы с западным влиянием и выражает одобрение этой политике.;indirect
122;1849-05-03;Автор упоминает о мобилизации отпускных солдат и слухах о грядущем рекрутском наборе в связи с войной.;direct
124;1849-05-05;Автор сообщает о публикации Высочайшего Манифеста о начале военных действий против венгерцев и поляков, а также вспоминает прошлогодние страхи о "польском заговоре".;direct
127;1849-05-08;Автор отмечает, что война стала главной темой для разговоров в обществе, и критикует поверхностность суждений на эту тему.;indirect
129;1849-05-10;Автор читает в газетах о вступлении 120-тысячного русского корпуса в Венгрию и выражает антипольские настроения.;direct
131;1849-05-12;Автор описывает официальное чтение в соборе манифеста о войне и молебен о даровании победы русскому воинству.;direct
133;1849-05-14;Автор сообщает о получении официального документа о реформе гимназии с разделением на факультеты, что является примером усиления госконтроля над образованием.;indirect
176;1849-06-30;Автор передает слухи об аресте 70 человек по делу Петрашевцев в Петербурге, их предполагаемом заговоре с целью убийства царя и последующей реформе университета.;indirect
177;1849-07-01;Автор делает обзор военных конфликтов в Европе по газетам: пруссаки с немцами, французы с Римом, австрийцы с итальянцами и мадьярами, а также победоносное шествие России на Дебрецен.;direct
179;1849-07-03;Автор сообщает, что его знакомый не может поступить в университет из-за приостановки приема студентов — прямое следствие ужесточения политики в образовании.;indirect
182;1849-07-06;Автор читает в газетах о продолжающихся сражениях в Европе, описывая их как "ужасную резню" и разгорающееся "пламя".;direct
188;1849-07-12;Автор сообщает о взятии русскими войсками Дебрецена и обсуждает ужесточение цензуры в России, которое стало реакцией на европейские события.;direct
214;1849-08-08;Автор упоминает, что армейский полк стоит в Петербурге 'вместо гвардии', что является косвенным признаком переброски гвардейских частей на подавление восстаний.;indirect
218;1849-08-12;Автор читает в газетах о разгроме венгерцев русскими войсками и о потерях среди русских генералов (убит генерал Скорятин).;direct
219;1849-08-13;Автор знакомится с учителем Белецким, сосланным в Вологду под надзор полиции, и характеризует его как "вольнодумца", что является свидетельством политических репрессий.;indirect
220;1849-08-14;Автор сообщает о полной победе над венграми (капитуляции) и официальных торжествах в Петербурге (салют и молебен).;direct
222;1849-08-16;В обществе активно обсуждают победу над венграми и детали кампании, в частности, эпизод с попыткой захвата генерала Бема.;direct
227;1849-08-21;В Вологде официально празднуют победу над венграми, проводится благодарственный молебен.;direct
232;1849-08-26;Автор отмечает, что священники в проповедях теперь часто говорят о "политических делах" и "Западе", что является идеологической реакцией на революции.;indirect
246;1849-09-09;Автор читает в газетах, что "Россия блистательно окончила свое дело" (подавление венгерского восстания), и надеется на установление мира в Европе.;direct
