id;date;text
1;"1857-09-19";"Давно желанное зрелище восхода солнца на открытом море было перед моими глазами. Горизонт был чист во все стороны. Легкий боковой ветер нес нас навстречу еще незримому светилу. Восток покрылся чудным багряным цветом. Думалось, что и само солнце явится перед нами в свете, какого никогда еще мы не видели. Но великолепное приготовление кончилось, и солнце блеснуло своим обычным лучем, золотисто-огненным. Волны схватили его, понесли и рассыпали по необозримости моря в миллионы движущихся искр. Восток и солнце магнетически приковывали к себе устремленный на них взор; но сквозь эту видимость зрелся душе некто другой, Невидимый, Кто с первых минут ее самосознания представлялся ей Востоком-востоков, солнцем правды, как учили ее сладкие и несравненные песни церковные, – это – Христос Бог наш. Мы близились к берегам Сирии. Еще их не было видно, но легкая полоса тумана или дыма, висевшая параллельно горизонту над морем к юго-востоку, говорила ясно об их близости. Сзади нас, влево к северу темнелась другая, более определенная, полоса с неровной поверхностью. Это был остров Кипр, вчера сопровождавший нас почти целый день. Отчизна и паства простеца и великого угодника Божия Спиридона, а также и другого святителя. но менее известного Тихона, равно как и славного Епифания и многих других святых Божиих, долго вчера занимала меня. Она первая приветствовала нас на море «восточном». Смотря на зубчатые верхи гор кипрских, напрасно старался я угадать местность городов Тримифунта и Амафунта. Странно звучащие для слуха, имена эти, свидетельствующие своебытную населенность древнего Кипра, остаются мертвым словом для нынешнего населения, на 2/3 греческого и на 1/3 турецкого. Но для нас они слово жизни острова. Они воскрешают перед нами Кипр в лучшую эпоху его, – лучшую на наш православный взгляд. Европа до сих пор с самоуслаждением вспоминает эпоху эфемерного царства кипрского, распавшегося и улетучившегося, как и все ее фантазии относительно Востока, под не сочиняемым ходом действительности. Но, всего приятнее действовало на душу представление той эпохи острова, в которую в первый раз сладострастные поклонники Киприды услышали целомудренное слово Иисуса Христа и услышали из уст необыкновенного смертного, когда-то уже умершего и погребённого, и предавшегося тлению, но восставшего по гласу Toго, Кого теперь проповедовал. Имя Лазаря, друга Господня отрадно и сладостно говорило сердцу в то время, как его вторая Вифания1 все более и более тонула в волнах Средиземного моря. К полудню резко обозначился берег Сирии. Высокие горы сторожили его. В трубу можно было различить, один из-за другого, восстающие, желтовато-серые хребты. Судя по разности цвета их, можно было заключать, что их разделяют большие пространства. Приучив, в течение многих лет, взор свой к горам всякого вида и размера, я мало занимался этим, уже обычным для меня, зрелищем. Но, когда карта сказала мне, что эти хребты суть Ливан и Антиливан, и что высшая точка синеющейся вправо громады, сокрытая на тот час в облаках, есть Ермон, сердце радостно встрепенулось. Я впился глазами в приближавшийся более и более берег, и не отходил от борта корабля до самого того времени, как зеленеющееся прибежище развернулось перед нами сперва длинной косой, потом полукругом, в глубине которого смотрелся в море широко раскинутый, возвышающийся по отлогости берега и насквозь пронизанный зеленью, город, варварски называемый теперь Бейрутом, в Евангельское же время известный под именем Вирита. Мы бросили якорь и ступили на священную землю великих воспоминаний. Но вместо высоких образов библейских, мне представились там суетные образы обыденной жизни. Грустная мысль, что Церковь Христова здесь пленница и что эти, дикие взором, речью, поступью, одеждой, языком, голые и оборванные выходцы степей и лесов, которые там и сям безобразно толпились по нечистым улицам, считают себя народом господствующим, имеющим право посмеиваться моим глубочайшим убеждениям сердечным, терзала меня, и гнала поскорее вон из города опять на чистую и свободную поверхность моря. Это было первое мое знакомство с землей магометанской. Это, несколько неприязненное к ней, мое чувство естественно. Оно возникает в душе всякого, кому известна эта прекрасная страна, как родник и питомник христианства. При закате солнца, мы оставили бейрутскую бухту и с быстротой птицы понеслись вдоль берега на юг. Угасавший свет дня едва позволял рассмотреть в трубу историческую местность Сидона. Множество, частью разрозненных, частью скученных домов, сходящих по горной отлогости к морю, свидетельствовали о продолжающейся жизни сего древнейшего заселения человеческого. Быстро наступившая ночь воспрепятствовала нам видеть облик его брата и сотоварища, Тира."
2;"1857-09-20";"День первый. Палестинское солнце приветствовало нас ослепительными лучами. В блеске их скрывался берег, которого усиленно, но напрасно искал взор. Расстилавшаяся между солнцем и морем пелена паров позволяла различать только самую легкую черту, чуть чуть отделявшуюся от поверхности морской и несколько наклоненную к ней. Это был хребет иудейских гор. «Взявши высоту солнца», мы узнали, что находимся на широте Яфы. Поворотив потому прямо на восток, мы еще с полчаса времени не различали ничего, кроме очертаний берега, почти исчезавшего в лучах солнца. Наконец черной точкой стала отделяться перед нами одна возвышенность, которая вскоре с помощью трубы, оказалась массой зданий. Это была апостольская Иоппия, полная воспоминаний о первоверховном Петре. Далеко от нее фрегат наш бросил якорь, боясь мелководья и волнения. Простым глазом едва можно было различать частности города. Я стал смотреть в трубу; думалось, что одна из многочисленных террас иоппийских должна быть та самая, с которой апостол научился отраднейшему для всего человечества уроку о вселенском составе Христовой Церкви. Поразительным кажется этот божественный урок от местности, на которой он преподан. Иоппия была и есть дверь Иудеи в Европу. Здесь, в самом деле, как бы всего приличнее и уместнее было начаться распространению царства Божия за тесные пределы строго замкнутого в себе иудейства. Отсюда была прямая дорога идей в процветавшую тогда философией Александрию и на все острова языков до славных мудростью Эллинов, и до миродержавных Римлян, – этих четвероногих и гадов в отношении к Богопознанию и Богопочтению, не смотря на всю их гражданскую и военную славу в тогдашнем мире. Кто изменил славу нетленного Бога в подобие птиц и четвероногих, и гад тот, как образ и подобие своего божества, конечно должен был походить на таинственные образы, явившиеся апостолу. Местность дивного видения была, однако же, не там, где искал ее глаз. Нам сказали после, что она отстоит от города на полчаса пути. Я знал заранее, что не придется видеть ее. В распоряжении нашем не было ни одной лишней минуты; и потому оставалось довольствоваться одним усиленным представлением знаменательного явления, обнимавшего собой и нас, дальних пришельцев. Также нельзя было надеяться увидеть и другое замечательное место Яфы дом, – где совершилось чудо воскресения Тавифы. Прямо с пристани, мы были приняты нашим вице-консулом и препровождены в Греческий монастырь. Город расположен уступами по скату холма и монастырь занимает средину на этом скате. Каменная лестница ведет к нему почти прямо с пристани. Имя монастыря принадлежит ему более по идее или по преданию, чем по праву. Он есть подворье иерусалимской патриархии или точнее разбитая на многие отделения и дворы гостиница, начальник которой титулуется игуменом. Подначальные его или «братия», обыкновенно и чуть ли не исключительно, заняты служением поклонникам, и надобно сказать, служат с достохвальным усердием. Впрочем, и богослужение, по правилу монастырскому, не оставляется ими. Утреня и вечерня отправляются ежедневно. Их церковь, выстроенная недавно попечением патриарха нынешнего, обширна и благолепна. Она единственная православная церковь города; нет нужды говорить, что мы приняты и угощены были с полным радушием. С длинной и широкой террасы монастыря можно было любоваться великолепным видом Средиземного, поистине Библейского моря. Воображение без труда создавало на нем картину приходящих и отходящих кораблей Соломона, но не легко было вообразить праотца Европы Иафета сидящим в пристани своего города и надсматривающим за построением первого мореходного судна по образцу, – конечно памятному всему роду человеческому, ковчега. Яфет и Яфа так созвучны, что невольно хочется верить древнему преданию, но боязнь исторического греха удерживает воспламеняющееся воображение. Иначе вся Европа должна бы обращаться с благоговением к Яфе, как своей колыбели и все без исключения, мореходцы должны бы принести посильную лепту на сооружение в Яфе памятника в увековечение своей признательности отцу мореходства. Солнце палило июльским знаем. Нам предлагали отдохнуть ради предстоявшего всенощного путешествия, но напарено было всякое усилие заснуть. Духота гнала вон из комнаты на ту же, освежаемую морским дыханием, террасу. Я подошел к окраине террасы, и долго смотрел вниз на набережную улицу, идущую возле самой стены монастырской. Вид самый не отрадный! На непривычного к Турции путешественника, он должен производить тягостное впечатление. Все там для него, от великого до малого, не похоже на то, что он знал и видел у себя дома. Все должно уверять его, что земля Святая не похожа на его родину. В первый раз он, может быть, с прискорбием заметит, что между, созданными им самим, образами библейскими и между действительностью есть разница, часто безмерная. Его представления городов, деревень, полей, лесов и рек, упоминаемых в св. истории, неожиданно оказываются для него неверными, простым осколком окружавших его дотоле предметов. Тяжело, но полезно такое разочарование. Оно приготовляет поклонника к выходу из той исключительности, в которую его невольно поставила его привычка видеть одно и тоже у себя на родине, – оно расширит его, большей частью, ограниченный круг зрения на предметы знания и веры, и если не тотчас, то мало-по-малу приучит его к умеренности и терпимости, столько нужной тому, кто решился принести на гроб Господень дань и своей признательной души вместе с тысячами других, подобных ему пришельцев, часто непохожих на него ничем, кроме одного образа человеческого и имени христианского. Все это тем с большей живостью думалось мне, чем пристальнее всматривался я в жизнь улицы. Вот один соотчич, видно недавний пришелец как и я, – покупая что-то в съестной лавке у араба, попеременно то с озлоблением, то с отчаянием силится вразумить его «русским языком», что у него нет других денег, кроме русских. Не было надобности гадать, каким чувством он был одушевлен. Резкие и через-чур домашние выражения его, обращенные к торговцу, показывали ясно, что земляк считает Палестину своей губернией. Часов около 2-х дня дано было приказание собираться в дорогу. Вскоре шум под самым монастырем, какой у нас можно услышать только во время пожара или другого какого необыкновенного события, ознаменовал прибытие подвод наших, взятых до Иерусалима. Это были пять-шесть лошадей, столько же мулов и около 20 ослов. Их подвели. Тем и окончилось содействие нашему отравлению вожатых. Все прочее нужно было сделать самому и делать не зевая. Общество наше состояло почти все из людей, которые не заставляют просить себя и потому лошади немедленно были разобраны, а в след за тем и мулы. Я сел на мула. В беспорядке примерном тронулись мы с места и кое-как выбрались из тесного и душного города на чистое поле. На протяжении двух верст за Яфой нас сопровождали сады зеленые и благоуханные, коим оградой служил кактус, лелеемый у нас в банках, a здесь достигающий высоты саженной и презираемый за негодность. Миновав сады, мы остановились и затем уже в порядке, поехали в открытую равнину, в конце которой на горизонте синела неровная линия гор. Первые впечатления были самые веселые. Глазам все виделась наша любезная Россия. Ровное поле, черная земля, кое-где вдали участки леса, все напоминало ее широкую и необъятную. Только дальние горы возражали собой на этот обман чувств. Всякий раз, как я возвращался к неизбежному сознанию того, что я в Иудее, я как бы пробуждался от сна. Первая, встретившаяся в стороне от дороги деревня показала, что мы на чужой земле. Несколько скученных на холмике серых или точнее черных землянок, оттеняемых деревьями своеобразного вида, мало походили на то, что мы привыкли называть селом или деревней. Таких деревень в течение трех часов мы встретили около пяти. Непривычность верховой езды заставляла несколько раз уже высматривать впереди вожделенную Рамлю или Рэмли. С небольшой возвышенности, наконец открылась, одиноко стоящая среди леса, четырехугольная башня арабско-готического стиля, предвестница близкого отдыха. Город, впрочем, был не там, где виднелось одинокое строение. Несколько минаретов, восстававших, как бы из земли впереди дорог, указали местность древней Аримафеи, куда мы вскоре и прибыли. Последние лучи солнца бросали розовый цвет на белевшие стены с фиолетовыми тенями. Множество куполов давали своеобразный характер городу, также скученному, как и Яфа. На высоком шесте утвержденный крест с яблоком обозначал латинский монастырь, встречающий путника прежде всех строений городских. Трое капуцинов, сидя па террасе, глядели на караван наш сперва с участием, а потом равнодушно. Мы проехали под самыми стенами монастыря и вступили в город, где пробирались узкой улицей минут 10, пока не въехали на один тесный и не очень чистый двор. Нам сказали, что эго монастырь греческий. Ничего похожего на монастырь, в привычном смысле слова, мы опять не нашли. Несколько лестниц вели со двора вверх. Взобравшись на одну из них и ожидая увидеть себя в комнате, мы сверх чаяния увидели перед собой опять двор, или обширную террасу самого неправильного вида, составлявшую верхний ярус монастырских зданий, и обставленную там и сям отдельными домами или комнатами, в которых нас и разместили. Это также гостиница или подворье св. Гроба, как и яфский монастырь. Монахи служат поклонникам. Старший из них называется игуменом. Кроме братий живет в заведении и одна старица для услужения поклонницам в случае какой-нибудь особенной нужды. И игумен, и старица жили прежде в Молдавии и знают несколько слов по-русски. Из разговора с почтенным старцем я узнал и что в городе очень мало христиан, что впрочем есть два приходских священника православных. «С фраторами (латинскими монахами) живем мирно», – говорил игумен. «Ходим друг к другу. Что там на верху (т. е. в Иерусалиме) делают, нам до того дела нет. Да и не из чего ссориться». Этот спокойной взгляд на вещи говорил много в пользу старца, как видно, хорошо искушенного опытом. Положено было отдыхать до восхода луны."
3;"1857-09-20";"Отдых однакоже в другой раз оказался невозможным. Мысль о близости Иерусалима заставляла раскрывать глаза среди самой глубокой дремоты. Наконец около 9 часов вечера слабое мерцание ущербленного светила позвало нас в путь, без сомнения, самый памятный в жизни каждого из нас. С привычной обществу нашему быстротой мы очутились попрежнему верхом и скромно поблагодарив обитель за хлеб-соль, простились с начальником ее, поручив себя его молитвам. Сумрак ночи не позволил мне рассмотреть город. Хотелось видеть древнюю церковь св. Иоанна Предтечи, обращенную в мечеть. Всякий, чуть различаемый в полусвете, купол с окнами я готов был принять за искомую церковь, доколе масса зданий городских не осталась позади нас. Рощи кактусов сопровождали нас еще около версты, после чего мы вступили в открытое поле, – продолжение той рванины, которой ехали до Рамли. Около двух часов мы наслаждались самым приятным путешествием, какое только я мог себе представить. Ровная и мягкая дорога, тишина, прохлада, многолюдное общество. свет луны, сладкое чувство сознания себя на священной местности, прилив библейских воспоминаний, – все говорило душе радостью и счастьем. какого только можно пожелать дальнему путнику. Мы не встретили на дороге ни одного жилья человеческого. Несколько раз слышавшийся, отдаленный лай собак уверял впрочем, что благодатная земля не лишена и оживляющего присутствия человека. Поверхность земли постепенно и чуть заметно возвышалась. Темная полоса гор начинала уже мало-по-малу выявляться отдельными очертаниями, хотя все еще неясными. Взобравшись на один холм, мы почувствовали свежесть горную. И точно, это был предел равнины. Черневшая влево неровность носила имя Латруна. Так как латрон (latro) значит разбойник, то и составилось мнение. что здесь была родина одного из разбойников, распятых вместе с Господом, и притом разбойника, висевшего одесную. Местность невольно наводит на мысль о разбое и могла производить тяжелое впечатление на душу одинокого странника. Мы не испытали его, потому что по своей многочисленности и по своему грозному виду, скорее могли внушать, нежели испытывать страх. Было уже за полночь, когда мы вступили в ущелье. Долго поднимались по тесной и извилистой, весьма трудной дороге и растянулись более, нежели на версту. Много раз, выезжая из одной извилины в другую, мы льстили себя надеждой, что увидим перед собой столько желанный Абугош или точнее деревню, принадлежащую племени, коего начальником не так давно был некто Абу-Гош, славный своими разбоями. Там предположено было сделать краткий отдых, в котором самые неутомимые из нас уже начинали чувствовать нужду. В таком утомительном подъеме прошло часа два слишком. Луна обошла нас полным полукругом и бросала тени наши уже вперед нас, уродуя образ наш на неровностях дороги. Веселые голоса все менее и менее слышались, и наконец, совсем замолкли. По временам только раздавалось спереди повелительное: «не отставать!», – передаваемое из уст в уста по всему каравану, или сзади чуть доносившееся: «стой!», – также переходившее от одного седока к другому до самого колонновожатого. Впрочем, иногда для развлечения общества, случались обстоятельства, развязывавшие отяжелевшие языки. Так, напр., раз вблизи меня споткнулся осел. Несколько сонливых русских голосов разлились остротами над павшим седоком. От седока речь перешла на животное, говоря о котором выражались всегда третьеличным местоимением в женском роде, без сомнения, воображая под собой по привычке лошадь. «Как она семенит ножками-то», – говорил один из моих соседей. «Ведь как жердочки тонки, а смотри, какую тяжесть несет! Силу Бог дал». «A от того», – подхватил другой, «что Христа на себе носила». – Новая оступка животного дала новый повод к разговору, в котором уже отзывалось явное нетерпение и нескрываемое желание отдыха. Тут досталось, между прочим и турецкому правительству, вовсе не помышляющему о том, чтобы поправлять дороги, «чтобы пешему человеку пройти было можно». Часам к трем с половиной, мы были повидимому на самой высоте хребта. Сзади нас уступами спускались пройденные нами возвышенности, едва различаемые при слабом свете луны. Спереди открылась ровная площадка с густым лесом. Всем почуялся желанный отдых. Но ни в лесу, ни за лесом деревни не было. Мы ехали до нее еще около часа. Спускаясь в лощину, по направлению чуть различаемых домов, я в сладком раздумье смотрел на возвышавшийся за ней новый хребет гор, еще высший, нежели пройденные нами, резко очерчивавшийся алой линией чуть белевшего востока. Там, за ним или на нем, стоит он, – любимая мечта детства – Иерусалим! Еще несколько часов и я ублажу себя видением, с которым ничто сравниться не может. Преславная глаголашася о тебе, граде Божий, лепетал язык и сердце таяло от радости и страха… Мы не могли расчитывать на какой-нибудь приют в Абугоше. Дух нетерпимости наследовал в ней духу грабежа и должно пройти, по крайней мере, еще одно поколение. чтобы переродился дух этот в дух гостеприимства. Мы спешились в стороне от деревни, возле какого-то огромного полуразрушенного здания с готическими окнами, и такой же высокой и широкой дверью. Некогда было рассматривать его. Утомление и бессонница обессилили совершенно и душу, и тело. Кто как мог, мы приютились к стенам здания и заснули для радостного пробуждения. День второй. Было 8 часов. когда дано было приказание «вставать и ехать». Мое ложе было в самых дверях здания. Подняв голову, я с изумлением увидел, что мы находимся в большой, совершенно опустелой церкви с двумя рядами столбов и готическими арками. Достойная сожаления участь храма Божия, некогда великолепного, теперь же обращенного, стыжусь сказать, во что! Не ожидал я такого горького привета от многорадостного дня. Стены и своды церкви еще в совершенной целости. По стенам, внутри храма, во многих местах сохранились очерки и краски икон. «Сколько ее на верху, столько же и под землей», – сказал мне наш кавас, указывая на церковь. Я обошел ее кругом и действительно, с южной стороны под алтарем увидел спуск в глубокое подземелье. Проникнуть туда уже не решился, боясь и отвращаясь нечистоты. Кем, когда и в намять чего выстроен этот замечательный храм? Некому было объяснить мне это. Архитектура его явно обличает время крестовых походов. Раумер в своей «Палестине» считает его остатком монастыря братьев Миноритов. По его мнению, Абугош есть древний Кариаф-иарим, славный местопребыванием Ковчега Завета. Ho пустившись отсюда в дальнейший путь, я уже на дороге прочел в одном писателе, что Абугош есть евангельский Эммаус и что церковь выстроена на месте явления Иисуса Христа ученикам по воскресении. Это известие глубоко поразило меня. Я доверился ему охотно. Божественное явление Господа ученикам эммаусским всякий раз, как я думал о нем, действовало на меня необыкновенно. Столько по сердцу приходился мне закрытый образ Богочеловека! Мысль, что я провел несколько часов на месте сего явления, наполняла душу тихим умилением. Первая, как бы встреча моя на богошественной земле с Евангелием была там, где всего охотнее желал я воображать себя и куда тысячекратно приникал с сердечным трепетом, испытующим взором веры. Долго потом еще в воображении моем рисовалась опустелая и преданная позору церковь. Мысль о ней подвигала душу на непрестанную жалость. Христиане, теснящиеся в разных местах земли и от тесноты выселяющиеся в степи и леса и на отдаленные острова океана, ужели бы не могли заселить дороги от Яфы до Иерусалима и очистить поклоннический путь от всего, чем возмущается христолюбивое сердце? Будь от всякой народности по колонии на пути сем, как бы все изменилось! Так думал я, но разумеется, думал на ветер. У земли обетованной есть своя обетованная эпоха, повидимому, еще весьма отдаленная от дней наших. В ту эпоху мое желание вызовет, может быть, улыбку. С полчаса мы ехали косогором, начавшимся у самого Абугоша и потом спустились в приятную долину, пересекаемую малой речкой, первой, – встреченной нами в Палестине. Несколько домов с садами, носившие имя Галены, свидетельствовали, как думают, о существовании некогда на месте этом римского поселения (colonia). Мы проехали мимо трех остатков древних построек. Ровная кладка стен, из огромных четырехугольных камней без цемента, сначала заставила меня думать, что я вижу перед собой памятник Еврейской архитектуры; но значительное сходство их, с недавно виденной церковью, удержало меня на пути, так близком к иллюзиям. От деревни дорога опять поднимается, делая извивы по неровностям горного ската. Взобравшись на высоту, мы увидели, что конец пути нашего еще далеко. Перед нами лежала глубокая долина или лучше рытвина, за которой еще раз стояла крутая и подобно всем другим, голо-скалистая гора, уже конечно последняя. И спуск и подъем равно были для нас трудны. Солнце стояло уже высоко и палило нас ослепительными лучами, от которых не в силах был защитить и зонтик. От главной долины вправо и влево расходились побочные логовины такого же вида и образования, как и множество других, виденных нами. Вид глубоко-печальный! На всем огромном пространстве не видно было ни одного дерева! Голые серые горы, пластовидным образованием своим, часто заставляли предполагать то там, то сям, следы давно исчезнувших деревень и городов, которыми так густо усеяна была когда-то Иудея. В полу-горе к северу от дороги виделась однако же какая-то небольшая деревня. На иных картах Палестины тут помещается славный Гаваон. Но, я удержал свое воображение от представлений из мира ветхозаветного. Меня все еще преследовала трогательная мысль, что по этой дороге (иной нет) некогда, в самый светлый день воскресения, шел прославленный пакибытием Спаситель. Мысль о присутствии Его когда-то здесь заменяла мне собой настоящее отсутствие жизни в этой глухой и мертвой пустыне. Наконец мы оставили ее за собой. Думалось, что поднявшись на высоту, мы немедленно увидим св. Град. Я называл счастливцами тех, которые были впереди и все ждал, что они сверху будут, на зависть нам, выражать знаки своей радости. Напрасная надежда! До Иерусалима еще было 25 или 30 минут пути, т. е. версты 3 или 4. Послушливое ожидание чередовалось с порывами нетерпения. Взобравшись в числе последних на высоту, я напрягал зрение во все стороны, но ничего, кроме голой и каменистой поверхности земли не увидел. Правда, не так далеко впереди стояло какое-то здание с куполом, но упредившая меня часть кавалькады нашей давно уже объехала его и все смотрела вперед. Точно, купол принадлежал одному могильному памятнику, а не Иерусалиму. Миновав его, я ожидал, что за возвышенной полосой земли, куда скрывались один за другим передовые, уже откроется все. Между тем, открылось только вправо от дороги, в значительной отдаленности, большое строение с башней в роде русской колокольни. Я сейчас отгадал, что это Крестный монастырь с училищем, о котором уже начала носиться слава по Востоку. А Иерусалима всѳ не было! Палящий зной увеличивал нетерпеливость нашу. Утомленные животные еле шли. Мул мой по временам издавал раздирающий вопль. Понять нельзя было, отчего до сих пор не виден город, бывший по расчетам уже весьма близко, тогда, как поверхность земли была повидимому совершенно ровная. Ho последнее было не что иное, как обман. Самым незаметным образом, она склонялась к нам."
